Date,CFM_1,CFM_2,CFM_3,CFM_4,O2_1,O2_2,O2_3,O2_4,STATICPR_1,STATICPR_2,STATICPR_3,STATICPR_4
01:48:12 03-09-2025,0,451,0,0,0,10.989107131958,0,0,0,7.19828701019287,0,0
01:48:42 03-09-2025,0,425,0,0,0,10.989107131958,0,0,0,7.27153491973877,0,0
01:49:12 03-09-2025,0,443,0,0,0,10.989107131958,0,0,0,7.21430969238281,0,0
01:49:42 03-09-2025,0,473,0,0,0,10.9967384338379,0,0,0,7.2578010559082,0,0
01:50:12 03-09-2025,0,470,0,0,0,10.989107131958,0,0,0,7.22346591949463,0,0
01:50:42 03-09-2025,0,438,0,0,0,10.9738445281982,0,0,0,7.26695728302002,0,0
01:51:12 03-09-2025,0,445,0,0,0,10.989107131958,0,0,0,7.21888828277588,0,0
01:51:43 03-09-2025,0,464,0,0,0,10.9280567169189,0,0,0,7.25322246551514,0,0
01:52:13 03-09-2025,0,452,0,0,0,10.9662132263184,0,0,0,7.18684196472168,0,0
01:52:43 03-09-2025,0,468,0,0,0,10.9814758300781,0,0,0,7.1639518737793,0,0
01:53:13 03-09-2025,0,466,0,0,0,10.9738445281982,0,0,0,7.17768573760986,0,0
01:53:43 03-09-2025,0,443,0,0,0,10.9967384338379,0,0,0,7.17310810089111,0,0
01:54:13 03-09-2025,0,449,0,0,0,10.9738445281982,0,0,0,7.25093364715576,0,0
01:54:43 03-09-2025,0,450,0,0,0,10.989107131958,0,0,0,7.20744323730469,0,0
01:55:13 03-09-2025,0,467,0,0,0,10.9814758300781,0,0,0,7.1639518737793,0,0
01:55:43 03-09-2025,0,435,0,0,0,10.9814758300781,0,0,0,7.225754737854,0,0
01:56:13 03-09-2025,0,448,0,0,0,10.989107131958,0,0,0,7.17310810089111,0,0
01:56:43 03-09-2025,0,431,0,0,0,10.9814758300781,0,0,0,7.20286464691162,0,0
01:57:13 03-09-2025,0,472,0,0,0,10.989107131958,0,0,0,7.23491096496582,0,0
01:57:43 03-09-2025,0,440,0,0,0,10.9814758300781,0,0,0,7.1227502822876,0,0
01:58:13 03-09-2025,0,438,0,0,0,10.9814758300781,0,0,0,7.15479564666748,0,0
01:58:43 03-09-2025,0,445,0,0,0,10.9738445281982,0,0,0,7.21430969238281,0,0
01:59:13 03-09-2025,0,425,0,0,0,10.9738445281982,0,0,0,7.12503910064697,0,0
01:59:43 03-09-2025,0,433,0,0,0,10.989107131958,0,0,0,7.14335060119629,0,0
02:00:13 03-09-2025,0,444,0,0,0,10.9738445281982,0,0,0,7.15479564666748,0,0
02:00:43 03-09-2025,0,444,0,0,0,10.9814758300781,0,0,0,7.15708446502686,0,0
02:01:13 03-09-2025,0,444,0,0,0,10.9356880187988,0,0,0,7.15937423706055,0,0
02:01:43 03-09-2025,0,467,0,0,0,10.9662132263184,0,0,0,7.17310810089111,0,0
02:02:13 03-09-2025,0,423,0,0,0,10.9662132263184,0,0,0,7.17539691925049,0,0
02:02:43 03-09-2025,0,458,0,0,0,10.9814758300781,0,0,0,7.26008987426758,0,0
02:03:13 03-09-2025,0,440,0,0,0,10.9814758300781,0,0,0,7.1937084197998,0,0
02:03:43 03-09-2025,0,445,0,0,0,10.989107131958,0,0,0,7.16624069213867,0,0
02:04:13 03-09-2025,0,451,0,0,0,10.989107131958,0,0,0,7.26695728302002,0,0
02:04:43 03-09-2025,0,434,0,0,0,10.989107131958,0,0,0,7.14563941955566,0,0
02:05:13 03-09-2025,0,460,0,0,0,10.989107131958,0,0,0,7.15250682830811,0,0
02:05:43 03-09-2025,0,447,0,0,0,10.989107131958,0,0,0,7.18684196472168,0,0
02:06:13 03-09-2025,0,424,0,0,0,10.989107131958,0,0,0,7.19828701019287,0,0
02:06:43 03-09-2025,0,419,0,0,0,10.989107131958,0,0,0,7.18684196472168,0,0
02:07:13 03-09-2025,0,452,0,0,0,10.9738445281982,0,0,0,7.20057582855225,0,0
02:07:43 03-09-2025,0,452,0,0,0,10.7067489624023,0,0,0,7.2371997833252,0,0
02:08:13 03-09-2025,0,442,0,0,0,10.9051628112793,0,0,0,7.21888828277588,0,0
02:08:43 03-09-2025,0,429,0,0,0,10.9662132263184,0,0,0,7.18684196472168,0,0
02:09:14 03-09-2025,0,462,0,0,0,10.9967384338379,0,0,0,7.14106178283691,0,0
02:09:44 03-09-2025,0,453,0,0,0,10.989107131958,0,0,0,7.2578010559082,0,0
02:10:14 03-09-2025,0,449,0,0,0,10.9967384338379,0,0,0,7.20286464691162,0,0
02:10:44 03-09-2025,0,413,0,0,0,10.9967384338379,0,0,0,7.21430969238281,0,0
02:11:14 03-09-2025,0,466,0,0,0,10.989107131958,0,0,0,7.1959981918335,0,0
02:11:44 03-09-2025,0,426,0,0,0,10.9585819244385,0,0,0,7.29671382904053,0,0
02:12:14 03-09-2025,0,462,0,0,0,10.9967384338379,0,0,0,7.14563941955566,0,0
02:12:44 03-09-2025,0,263,0,0,0,11.0654201507568,0,0,0,7.46152210235596,0,0
02:13:14 03-09-2025,0,331,0,0,0,11.1112079620361,0,0,0,7.43176460266113,0,0
02:13:44 03-09-2025,0,323,0,0,0,11.0883140563965,0,0,0,7.46609973907471,0,0
02:14:14 03-09-2025,0,244,0,0,0,11.0730514526367,0,0,0,7.40887451171875,0,0
02:14:44 03-09-2025,0,314,0,0,0,11.0501575469971,0,0,0,7.50043487548828,0,0
02:15:14 03-09-2025,0,287,0,0,0,11.0425262451172,0,0,0,7.43405342102051,0,0
02:15:44 03-09-2025,0,256,0,0,0,11.0196323394775,0,0,0,7.47525596618652,0,0
